record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
R000031,E0028,EV_007,2024-10-18,,no_show,0,,,manager
R000086,E0028,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000098,E0050,EV_001,2024-11-04,2024-12-04,completed,100,97,,hr
R000273,E0050,EV_010,2024-11-29,,completed,100,87,3,self
R000292,E0050,EV_025,2024-12-06,,completed,100,68,,self
R000376,E0050,EV_008,2025-01-22,,no_show,0,,,self
R000442,E0050,EV_037,2025-02-21,,completed,100,,5,manager
R000448,E0050,EV_009,2025-02-24,,completed,100,67,4,self
R000485,E0028,EV_002,2025-03-03,2025-04-02,completed,100,71,,hr
R000496,E0050,EV_002,2025-03-03,2025-04-02,completed,100,72,,hr
R000703,E0050,EV_040,2025-04-11,,completed,100,,4,self
R000734,E0050,EV_038,2025-04-25,,completed,100,67,,self
R000835,E0028,EV_003,2025-06-02,2025-07-02,completed,100,80,,hr
R000849,E0050,EV_003,2025-06-02,2025-07-02,completed,100,94,,hr
R001097,E0028,EV_007,2025-07-29,,completed,100,,3,self
R001166,E0028,EV_040,2025-08-28,,completed,100,,,self
R001261,E0050,EV_036,2025-10-01,,declined,0,,,manager
R001368,E0028,EV_001,2025-11-03,2025-12-03,completed,100,91,,hr
R001387,E0050,EV_001,2025-11-03,2025-12-03,completed,100,98,,hr
R001518,E0028,EV_010,2025-11-06,,dropped,60,,,manager
R001655,E0028,EV_012,2025-12-25,,completed,100,87,,manager
R001796,E0050,EV_006,2026-02-11,,completed,100,,5,self
R001860,E0028,EV_002,2026-03-02,2026-04-01,completed,100,98,,hr
R001861,E0028,EV_011,2026-03-02,,completed,100,,4,self
R001883,E0050,EV_002,2026-03-02,2026-04-01,overdue,10,,,hr
R002057,E0028,EV_009,2026-03-23,,dropped,75,,2,self
R002118,E0028,EV_009,2026-04-08,,dropped,50,,,manager
R002173,E0001,EV_001,2026-05-01,2026-05-31,completed,100,88,,hr
R002174,E0001,EV_002,2026-05-01,2026-05-31,completed,100,93,,hr
R002175,E0001,EV_003,2026-05-01,2026-05-31,completed,100,70,,hr
R002192,E0001,EV_004,2026-05-12,2026-05-28,completed,100,,5,hr
R002195,E0050,EV_011,2026-05-13,,completed,100,,5,self
R002277,E0028,EV_003,2026-06-01,2026-07-01,completed,100,84,,hr
R002299,E0050,EV_003,2026-06-01,2026-07-01,overdue,25,,,hr
R002551,E0028,EV_039,2026-07-20,,completed,100,,2,self
R002617,E0050,EV_008,2026-08-11,,completed,100,,4,self
R002623,E0028,EV_019,2026-08-14,,completed,100,,4,manager
R002624,E0001,EV_040,2026-08-17,,completed,100,,,self
R002626,E0001,EV_008,2026-08-18,,completed,100,,3,self
R002630,E0050,EV_019,2026-08-19,,completed,100,,2,self
R002682,E0050,EV_039,2026-09-03,,completed,100,,4,self
R002692,E0028,EV_006,2026-09-08,,completed,100,,3,self
R002700,E0050,EV_036,2026-09-14,,declined,0,,,manager
R002727,E0001,EV_011,2026-09-25,,completed,100,,5,self
